,Code,Trigger Ratio,Close > Open Percentage,Low Violation 1 week,Low Violation 2 week,Low Violation 3 week,Low Violation 4 week,Close Violation 1 week,Close Violation 2 week,Close Violation 3 week,Close Violation 4 week
0,AMD,1.5325670498084292,87.5,12.5,0.0,12.5,0.0,37.5,0.0,25.0,0.0
1,AMGN,3.0651340996168583,68.75,12.5,18.75,0.0,12.5,43.75,12.5,0.0,6.25
2,AMZN,2.8735632183908044,53.333333333333336,20.0,6.666666666666667,6.666666666666667,0.0,40.0,13.333333333333334,0.0,0.0
3,BA,2.2988505747126435,66.66666666666667,16.666666666666668,0.0,16.666666666666668,0.0,50.0,25.0,0.0,0.0
4,BAC,1.7241379310344827,44.44444444444444,22.22222222222222,0.0,0.0,11.11111111111111,55.55555555555556,0.0,11.11111111111111,0.0
5,BAX,2.681992337164751,57.142857142857146,28.571428571428573,14.285714285714286,7.142857142857143,7.142857142857143,50.0,7.142857142857143,7.142857142857143,0.0
6,CMCSA,2.681992337164751,57.142857142857146,28.571428571428573,7.142857142857143,7.142857142857143,14.285714285714286,57.142857142857146,0.0,14.285714285714286,0.0
7,CMI,2.4904214559386975,69.23076923076923,15.384615384615385,0.0,15.384615384615385,7.6923076923076925,30.76923076923077,7.6923076923076925,0.0,7.6923076923076925
8,COF,2.2988505747126435,41.666666666666664,8.333333333333334,25.0,8.333333333333334,8.333333333333334,58.333333333333336,8.333333333333334,8.333333333333334,0.0
9,EOG,2.681992337164751,50.0,7.142857142857143,0.0,0.0,7.142857142857143,50.0,0.0,0.0,0.0
10,EXPE,3.8314176245210727,50.0,10.0,0.0,10.0,10.0,60.0,10.0,5.0,5.0
11,GD,2.10727969348659,45.45454545454545,0.0,9.090909090909092,18.181818181818183,0.0,45.45454545454545,18.181818181818183,18.181818181818183,0.0
12,GE,2.4904214559386975,46.15384615384615,38.46153846153846,0.0,7.6923076923076925,7.6923076923076925,53.84615384615385,23.076923076923077,0.0,0.0
13,GILD,2.2988505747126435,58.333333333333336,8.333333333333334,16.666666666666668,16.666666666666668,0.0,41.666666666666664,16.666666666666668,0.0,8.333333333333334
14,GIS,2.681992337164751,71.42857142857143,14.285714285714286,14.285714285714286,0.0,7.142857142857143,35.714285714285715,14.285714285714286,7.142857142857143,0.0
15,GL,1.9157088122605364,60.0,20.0,0.0,0.0,20.0,40.0,30.0,0.0,0.0
16,GLW,2.10727969348659,45.45454545454545,9.090909090909092,18.181818181818183,9.090909090909092,9.090909090909092,45.45454545454545,0.0,9.090909090909092,9.090909090909092
17,GM,3.0651340996168583,75.0,6.25,6.25,12.5,0.0,25.0,6.25,0.0,6.25
18,GNRC,2.2988505747126435,50.0,8.333333333333334,8.333333333333334,8.333333333333334,0.0,58.333333333333336,8.333333333333334,8.333333333333334,8.333333333333334
19,GOOG,3.0651340996168583,50.0,6.25,12.5,6.25,0.0,37.5,18.75,0.0,0.0
20,GPC,2.8735632183908044,40.0,26.666666666666668,6.666666666666667,0.0,0.0,66.66666666666667,6.666666666666667,0.0,0.0
21,GPN,2.4904214559386975,53.84615384615385,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,46.15384615384615,30.76923076923077,7.6923076923076925,0.0
22,GPS,3.8314176245210727,60.0,30.0,5.0,0.0,15.0,35.0,10.0,0.0,25.0
23,GRMN,3.256704980842912,47.05882352941177,17.647058823529413,17.647058823529413,17.647058823529413,5.882352941176471,64.70588235294117,23.529411764705884,0.0,5.882352941176471
24,GS,2.10727969348659,54.54545454545455,27.272727272727273,0.0,9.090909090909092,9.090909090909092,45.45454545454545,0.0,9.090909090909092,0.0
25,GWW,2.4904214559386975,53.84615384615385,7.6923076923076925,7.6923076923076925,15.384615384615385,0.0,38.46153846153846,0.0,15.384615384615385,0.0
26,J,3.0651340996168583,62.5,15.0,12.5,5.0,10.0,37.5,5.0,15.0,5.0
27,JBHT,2.6053639846743293,61.76470588235294,26.470588235294116,5.882352941176471,5.882352941176471,5.882352941176471,41.1764705882353,11.764705882352942,5.882352941176471,11.764705882352942
28,JCI,4.137931034482759,53.7037037037037,12.962962962962964,18.51851851851852,5.555555555555555,1.8518518518518519,44.44444444444444,16.666666666666668,1.8518518518518519,1.8518518518518519
29,JKHY,2.9885057471264367,43.58974358974359,15.384615384615385,10.256410256410257,0.0,5.128205128205129,56.41025641025641,5.128205128205129,0.0,5.128205128205129
30,JNJ,3.2950191570881224,41.86046511627907,18.6046511627907,13.953488372093023,11.627906976744185,6.976744186046512,53.48837209302326,13.953488372093023,0.0,4.651162790697675
31,JNPR,2.953953084274544,44.11764705882353,23.529411764705884,29.41176470588235,2.9411764705882355,2.9411764705882355,58.8235294117647,14.705882352941176,2.9411764705882355,0.0
32,JPM,3.9846743295019156,50.0,21.153846153846153,11.538461538461538,9.615384615384615,7.6923076923076925,44.23076923076923,9.615384615384615,7.6923076923076925,7.6923076923076925
33,K,3.9080459770114944,49.01960784313726,7.8431372549019605,11.764705882352942,7.8431372549019605,3.9215686274509802,50.98039215686274,13.72549019607843,0.0,3.9215686274509802
34,KEY,3.2950191570881224,41.86046511627907,18.6046511627907,9.30232558139535,16.27906976744186,11.627906976744185,55.81395348837209,9.30232558139535,9.30232558139535,2.3255813953488373
35,KEYS,2.849002849002849,50.0,20.0,20.0,0.0,0.0,50.0,10.0,0.0,10.0
36,KHC,3.1847133757961785,70.0,10.0,20.0,10.0,10.0,40.0,20.0,0.0,0.0
37,KIM,2.9118773946360155,57.89473684210526,10.526315789473685,21.05263157894737,5.2631578947368425,5.2631578947368425,39.473684210526315,18.42105263157895,13.157894736842104,7.894736842105263
38,KLAC,2.9118773946360155,47.36842105263158,18.42105263157895,13.157894736842104,13.157894736842104,0.0,44.73684210526316,5.2631578947368425,7.894736842105263,2.6315789473684212
39,KMB,2.6053639846743293,55.88235294117647,23.529411764705884,11.764705882352942,5.882352941176471,2.9411764705882355,41.1764705882353,11.764705882352942,5.882352941176471,2.9411764705882355
40,KMI,2.9411764705882355,56.25,12.5,25.0,6.25,6.25,43.75,6.25,12.5,6.25
41,KMX,2.588235294117647,45.45454545454545,24.242424242424242,9.090909090909092,0.0,18.181818181818183,51.515151515151516,12.121212121212121,3.0303030303030303,6.0606060606060606
42,KO,2.9885057471264367,48.717948717948715,12.820512820512821,10.256410256410257,5.128205128205129,7.6923076923076925,51.282051282051285,7.6923076923076925,5.128205128205129,5.128205128205129
43,KR,2.681992337164751,62.857142857142854,25.714285714285715,0.0,8.571428571428571,0.0,37.142857142857146,2.857142857142857,14.285714285714286,5.714285714285714
44,KSU,2.2222222222222223,41.37931034482759,6.896551724137931,20.689655172413794,6.896551724137931,0.0,62.06896551724138,10.344827586206897,6.896551724137931,0.0
45,L,2.835249042145594,56.75675675675676,18.91891891891892,5.405405405405405,5.405405405405405,8.108108108108109,48.648648648648646,16.216216216216218,5.405405405405405,5.405405405405405
46,LB,2.835249042145594,51.351351351351354,13.513513513513514,13.513513513513514,10.81081081081081,2.7027027027027026,43.24324324324324,8.108108108108109,8.108108108108109,2.7027027027027026
47,LDOS,1.2315270935960592,60.0,0.0,20.0,0.0,0.0,40.0,0.0,0.0,0.0
48,LEG,3.6015325670498086,46.808510638297875,17.02127659574468,14.893617021276595,4.25531914893617,4.25531914893617,51.06382978723404,6.382978723404255,6.382978723404255,2.127659574468085
49,LEN,3.2950191570881224,53.48837209302326,16.27906976744186,13.953488372093023,6.976744186046512,6.976744186046512,44.18604651162791,9.30232558139535,6.976744186046512,6.976744186046512
50,LH,1.839080459770115,58.333333333333336,16.666666666666668,4.166666666666667,4.166666666666667,4.166666666666667,29.166666666666668,8.333333333333334,16.666666666666668,4.166666666666667
51,LHX,2.835249042145594,64.86486486486487,16.216216216216218,8.108108108108109,13.513513513513514,10.81081081081081,35.13513513513514,21.62162162162162,2.7027027027027026,5.405405405405405
52,LIN,3.4482758620689653,51.111111111111114,24.444444444444443,8.88888888888889,8.88888888888889,2.2222222222222223,44.44444444444444,13.333333333333334,6.666666666666667,2.2222222222222223
53,LKQ,3.0172413793103448,32.142857142857146,21.428571428571427,0.0,14.285714285714286,0.0,64.28571428571429,3.5714285714285716,3.5714285714285716,3.5714285714285716
54,LLY,2.681992337164751,42.857142857142854,17.142857142857142,17.142857142857142,11.428571428571429,5.714285714285714,51.42857142857143,17.142857142857142,5.714285714285714,5.714285714285714
55,LMT,2.7586206896551726,41.666666666666664,16.666666666666668,8.333333333333334,5.555555555555555,5.555555555555555,41.666666666666664,11.11111111111111,5.555555555555555,8.333333333333334
56,LNC,3.0651340996168583,52.5,25.0,7.5,7.5,2.5,47.5,10.0,7.5,0.0
57,LNT,2.7586206896551726,52.77777777777778,22.22222222222222,11.11111111111111,0.0,5.555555555555555,47.22222222222222,8.333333333333334,2.7777777777777777,2.7777777777777777
58,LOW,3.218390804597701,30.952380952380953,28.571428571428573,9.523809523809524,7.142857142857143,2.380952380952381,61.904761904761905,7.142857142857143,4.761904761904762,0.0
59,LRCX,3.524904214559387,47.82608695652174,28.26086956521739,6.521739130434782,8.695652173913043,8.695652173913043,47.82608695652174,15.217391304347826,6.521739130434782,2.1739130434782608
60,LUMN,3.6015325670498086,51.06382978723404,21.27659574468085,6.382978723404255,10.638297872340425,2.127659574468085,46.808510638297875,10.638297872340425,4.25531914893617,2.127659574468085
61,LUV,3.0651340996168583,47.5,12.5,15.0,7.5,2.5,45.0,7.5,5.0,7.5
62,LVS,3.815028901734104,60.60606060606061,9.090909090909092,12.121212121212121,15.151515151515152,6.0606060606060606,42.42424242424242,12.121212121212121,9.090909090909092,9.090909090909092
63,LW,1.6326530612244898,50.0,0.0,25.0,0.0,0.0,50.0,0.0,25.0,25.0
64,LYB,3.58974358974359,52.38095238095238,19.047619047619047,0.0,9.523809523809524,0.0,42.857142857142854,14.285714285714286,4.761904761904762,0.0
65,LYV,2.955665024630542,45.833333333333336,8.333333333333334,20.833333333333332,12.5,0.0,45.833333333333336,16.666666666666668,8.333333333333334,0.0
